State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.39489	0.39545	0.39532	0.39602	0.39664	0.39689	0.39759	0.39784	0.39853	0.39997	0.40116	0.40167	0.40185	0.40267	0.40342	0.40386	0.40418	0.40462	0.40499	0.40631	0.40694
2	1.33953	1.34228	1.34833	1.35712	1.36152	1.36746	1.37945	1.38737	1.39496	1.41487	1.43368	1.44259	1.46316	1.47372	1.49044	1.50452	1.51585	1.53334	1.54654	1.55864	1.56535
3	3.77477	3.77232	3.75579	3.72457	3.70559	3.67315	3.59785	3.53541	3.48092	3.40378	3.33644	3.23359	3.13503	3.06096	2.95444	2.85587	2.77506	2.68079	2.59508	2.50754	2.43958
4	1.01945	1.00960	0.99975	0.96528	0.94722	0.87827	0.88648	0.89633	0.87171	0.87171	0.86678	0.82410	0.82246	0.76664	0.75187	0.74202	0.71411	0.68784	0.72068	0.77978	0.80276
5	2.22923	2.18769	2.12308	2.06308	2.01231	2.20154	2.21077	2.20616	2.29385	2.24769	2.12308	2.16923	1.94308	1.94308	1.83692	1.90615	1.86462	2.02154	2.04923	1.95231	2.03539
6	1.86100	1.88449	1.88449	1.86771	1.88617	1.95497	1.94993	1.99189	2.04055	2.01034	2.01873	2.14124	2.11774	2.22514	2.29730	2.26374	2.32918	2.24528	2.26038	2.24024	2.36945
7	2.08605	2.11271	2.26600	2.33265	2.45261	2.41929	2.65255	2.76585	2.89914	2.82583	2.48593	2.67921	2.87915	2.73253	2.69254	2.85249	2.77918	2.85916	2.93247	2.99912	2.67921
8	3.30361	3.18825	3.27215	3.41898	3.13581	3.05191	3.25117	3.46093	3.42946	3.18825	3.28264	3.38751	3.59727	3.43995	3.13581	3.12532	3.25117	3.32459	3.28264	3.21971	3.38751
9	4.66280	4.63347	4.42819	4.46338	4.47511	4.18772	3.94725	3.74783	3.64813	3.52496	3.32554	3.24930	3.20237	3.31968	3.41352	3.42525	3.54842	3.65399	3.47217	3.51909	3.31381
10	2.98710	2.83322	2.81511	2.57977	2.57071	2.72459	2.59787	2.53451	2.31726	2.36252	2.55261	2.51640	2.45304	2.44399	2.60692	2.71554	2.61597	2.46209	2.48925	2.46209	2.44399
