State (Emission order)	-2000	-1800	-1600	-1400	-1200	-1000	-800	-600	-400	-200	0	200	400	600	800	1000	1200	1400	1600	1800	2000
1	0.38624	0.38403	0.38170	0.37865	0.37505	0.36868	0.36269	0.35022	0.34042	0.33426	0.32978	0.32922	0.33122	0.33521	0.34130	0.34690	0.34978	0.35250	0.35432	0.35516	0.35532
2	1.52361	1.49575	1.44722	1.38149	1.30082	1.19986	1.07299	0.94737	0.86058	0.81311	0.79690	0.79603	0.82690	0.86971	0.91184	0.96251	1.00950	1.05017	1.08774	1.11696	1.14240
3	0.76505	0.69967	0.64456	0.58675	0.54731	0.51111	0.48734	0.46735	0.45979	0.45654	0.45925	0.46411	0.48140	0.49382	0.51057	0.53921	0.60404	0.70508	0.82556	0.97252	1.12866
4	1.73279	1.58936	1.32133	1.04750	0.84611	0.63893	0.55780	0.51143	0.49695	0.46073	0.46942	0.46652	0.47956	0.53896	0.62444	0.89682	1.50533	2.23698	3.10627	3.85531	4.47396
5	5.47452	5.37676	5.29530	4.86760	3.62524	2.70875	1.86557	1.32382	1.14460	1.17311	1.18126	1.16904	1.25458	1.73115	3.15681	6.68429	10.57023	13.71889	14.77388	14.97347	14.48060
6	3.67878	3.80911	3.99127	4.10383	4.12012	3.86983	3.48922	2.79759	2.18446	1.94898	1.74016	1.65279	1.66167	1.76090	1.97416	2.22149	2.40069	2.48066	2.49103	2.42142	2.33997
7	4.05853	4.25851	4.32321	4.66437	5.14668	5.56430	5.79958	5.85840	4.80553	3.08801	2.28807	2.29983	2.07632	2.04691	2.23513	2.13514	2.08220	2.08220	2.11749	2.07044	2.09985
8	4.83157	5.59055	6.98818	8.91341	12.30106	17.10485	26.57361	41.16087	59.39494	64.35609	58.57117	52.49006	34.39483	20.39995	12.28254	8.05261	5.62757	4.19291	3.21179	2.81379	2.45281
9	7.52632	9.10509	11.02549	13.58775	16.72458	19.62330	21.16583	21.32112	19.87176	16.35706	18.53110	34.30842	43.36692	48.76061	49.16436	44.51606	37.04668	29.31331	23.29329	18.57769	15.05782
10	5.06481	5.56011	7.10192	9.46657	12.24662	17.11172	22.04872	26.61823	26.95376	36.68395	42.41183	23.88611	22.45614	20.17138	17.28747	13.09342	9.60238	6.90221	4.93700	3.77864	3.05167
