State (Emission order)	Genome %	CpGIsland.hg19.bed.gz	RefSeqExon.hg19.bed.gz	RefSeqGene.hg19.bed.gz	RefSeqTES.hg19.bed.gz	RefSeqTSS.hg19.bed.gz	RefSeqTSS2kb.hg19.bed.gz	laminB1lads.hg19.bed.gz
1	55.68776	0.21922	0.36453	0.70453	0.40121	0.32979	0.38490	1.31082
2	31.78880	0.99271	1.28727	1.16982	1.43383	0.79693	1.14514	0.72543
3	5.71165	0.69880	4.01704	2.16884	3.33557	0.45926	0.65053	0.29465
4	2.12997	0.37112	1.00220	2.17970	0.86687	0.46943	1.22159	0.25033
5	0.75760	0.53932	1.94112	2.15834	2.11869	1.18130	4.80691	0.20751
6	2.08370	0.93614	1.65210	1.13401	2.01895	1.74022	2.75018	0.44848
7	0.52465	0.77011	2.10422	1.13449	2.48619	2.28814	3.36298	0.40956
8	0.33340	52.13814	7.22042	1.08675	3.28298	58.57298	19.26847	0.29509
9	0.59617	27.01047	5.70776	1.99655	3.32589	18.52650	20.72963	0.22503
10	0.38629	39.36043	4.84970	1.04262	2.55288	42.41313	15.34172	0.48506
Base	100	0.6928318444	2.4881363217	42.7405239504	0.0009417986	0.0010672136	3.4589586137	37.2616995321
