State (Emission order)	H3k4me3	H3k9ac	H3k27acS	H3k27ac	H3k4me1	H3k9me1	H4k20me1	H3k79me2	H3k36me3
1	5.329341409641222E-4	8.344665167999727E-5	6.189029025013377E-4	6.210010548437549E-4	4.5768701504429233E-4	0.005062062821121012	0.0010102119082069404	2.580922519196558E-5	3.5144493913043403E-4
2	0.001038853583573052	4.2196537331200604E-4	0.0010758884321348647	0.0034274018260771113	0.004198987933546589	0.023915375940983825	0.012756489592175223	8.14336519468311E-4	0.003520537284653884
3	8.260986058976637E-4	0.001076270842624043	0.0034650169536137756	0.01080963234020506	0.006195404285759524	0.04021076038872744	0.012605932472129792	0.020636453688963337	0.22748905382533188
4	0.001407666844049264	0.0017268805623393518	0.0077552285715879335	0.004837355047517345	0.039615462223691	0.0399783892867347	0.022858779231288665	0.6364876235951283	0.12254187247446516
5	0.11613852641899818	0.11625399052804301	0.14898528101134467	0.2124905821033008	0.6881757775334044	0.1964024091241938	0.14919314814185855	0.9141855828433044	0.30799890489637455
6	0.02789737907417539	0.01746431089493287	0.03553473935464798	0.0706023535812153	0.6029542125689197	0.07322952685302493	0.025109317748232333	0.011117829979667041	0.029031950374375504
7	0.2690320160088697	0.4446149514850049	0.6018889587238743	0.8183224229259911	0.9304154877533767	0.12108233351951983	0.022723580215740596	0.05808151888717908	0.09538749260814719
8	0.9188028536875114	0.9870378252158948	0.9123740200730529	0.9197709783232194	0.33757933531865314	0.02239936007449209	0.006258459059094435	0.1186722756636932	0.003088561736517345
9	0.9121466846987176	0.9676731369261293	0.8553074733165078	0.7984780154856327	0.36317481850227745	0.057097354068800385	0.07959358721532604	0.9926876281070727	0.12121638921576848
10	0.5242694663297762	0.3537749219602508	0.1557810857084767	0.12646788650955446	0.2505499155222319	0.02368926137394124	0.007241355213685975	0.039225699202514834	0.0012021871524458183
