State (from\to) (Emission order)	1	2	3	4	5	6	7	8	9	10
1	0.9987352297653308	9.535737730965591E-4	0.0	2.5988252511297005E-6	0.0	3.5305714834758637E-6	8.047373634271938E-7	1.7184094385808428E-6	0.0	3.025439180361652E-4
2	0.0016816999435711783	0.9793596210244605	0.0020415972081020348	3.48192077795014E-4	4.5808064320263504E-7	0.014652856372767907	1.448829123000914E-4	0.0	1.0205132020662482E-5	0.001760487248339435
3	0.0	0.011275686273370457	0.9728077649786574	0.008664721648875969	0.002455169704458894	0.0038451001802371596	9.420979066548301E-4	0.0	9.45930774527148E-6	0.0
4	9.044929858965519E-5	0.004894873971602154	0.02398938941562282	0.9042100041372048	0.06391160766125958	5.129245142516528E-4	0.0	0.0	0.001981658145845642	4.0909285562380884E-4
5	0.0	4.089203033015773E-5	0.018229771035977234	0.1709701490026251	0.7320046711582189	0.014495210124661814	0.0037017890693429993	0.0	0.058768080373177004	0.0017894372056669007
6	3.491066361686596E-4	0.19312312560499903	0.008907791365362908	4.571649512167458E-4	0.004847178822057155	0.7277119639081032	0.05152753580179581	6.166434150007094E-4	1.1916217225698855E-4	0.012340327323038762
7	2.0694409678613128E-4	0.007009815237429797	0.010968633399161843	0.0	0.005681776398649407	0.23199013131225754	0.6925675370060834	0.03832475648187289	0.003656167966230221	0.009594238101528683
8	4.2109538295601783E-4	0.0	1.8340175096404074E-4	0.0	1.3433584559983781E-6	0.00601587548025661	0.05822544187791358	0.656579195749704	0.10255022273738536	0.17602342366236443
9	0.0	6.440551312270755E-4	1.708767912837634E-4	0.006866608677284803	0.0814237201727523	0.0	0.0028470564845164904	0.06051284621615497	0.8215117141342214	0.02602312239255912
10	0.03778066606840846	0.12699253955307174	4.212197832480033E-8	0.001576855838604391	0.0033653299504120414	0.07153793162969277	0.012116245352796448	0.1401017952597422	0.03712517986100682	0.5694034143642868
